pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL	Number_of_nodes_update
Regulation of FZD by ubiquitination	R-HSA-4641263	 Reactome	 hsapiens	22	233	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4641263	21.0
Defective B4GALT7 causes EDS, progeroid type	R-HSA-3560783	 Reactome	 hsapiens	21	20	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3560783	20.0
Defective B3GALT6 causes EDSP2 and SEMDJL1	R-HSA-4420332	 Reactome	 hsapiens	21	20	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4420332	20.0
Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)	R-HSA-5083632	 Reactome	 hsapiens	21	39	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5083632	18.0
mRNA decay by 5' to 3' exoribonuclease	R-HSA-430039	 Reactome	 hsapiens	21	169	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-430039	15.0
Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)	R-HSA-5083625	 Reactome	 hsapiens	20	19	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5083625	17.0
Defects of Formation of Fibrin Clot (Clotting Cascade)	R-HSA-9651496	 Reactome	 hsapiens	20	45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9651496	15.0
Diseases of hemostasis	R-HSA-9671793	 Reactome	 hsapiens	20	45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9671793	15.0
SUMOylation of transcription factors	R-HSA-3232118	 Reactome	 hsapiens	20	58	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3232118	20.0
NOTCH4 Intracellular Domain Regulates Transcription	R-HSA-9013695	 Reactome	 hsapiens	20	102	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013695	20.0
MET activates PTK2 signaling	R-HSA-8874081	 Reactome	 hsapiens	20	140	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8874081	18.0
Signaling by FGFR2 IIIa TM	R-HSA-8851708	 Reactome	 hsapiens	20	141	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8851708	19.0
Phase 4 - resting membrane potential	R-HSA-5576886	 Reactome	 hsapiens	20	158	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5576886	19.0
Phosphorylation of the APC/C	R-HSA-176412	 Reactome	 hsapiens	20	188	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-176412	20.0
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	R-HSA-936964	 Reactome	 hsapiens	20	235	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-936964	18.0
Spry regulation of FGF signaling	R-HSA-1295596	 Reactome	 hsapiens	19	82	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1295596	16.0
TICAM1, RIP1-mediated IKK complex recruitment	R-HSA-168927	 Reactome	 hsapiens	19	84	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168927	20.0
RIP-mediated NFkB activation via ZBP1	R-HSA-1810476	 Reactome	 hsapiens	19	112	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1810476	17.0
EPHA-mediated growth cone collapse	R-HSA-3928663	 Reactome	 hsapiens	19	122	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3928663	16.0
Ligand-dependent caspase activation	R-HSA-140534	 Reactome	 hsapiens	19	127	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140534	17.0
Transcription of E2F targets under negative control by DREAM complex	R-HSA-1362277	 Reactome	 hsapiens	19	128	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1362277	19.0
FGFR1 ligand binding and activation	R-HSA-190242	 Reactome	 hsapiens	19	203	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-190242	16.0
Beta-catenin phosphorylation cascade	R-HSA-196299	 Reactome	 hsapiens	19	206	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-196299	17.0
Response of EIF2AK1 (HRI) to heme deficiency	R-HSA-9648895	 Reactome	 hsapiens	18	60	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9648895	15.0
Polo-like kinase mediated events	R-HSA-156711	 Reactome	 hsapiens	18	68	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156711	16.0
NRIF signals cell death from the nucleus	R-HSA-205043	 Reactome	 hsapiens	18	89	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-205043	16.0
Zinc transporters	R-HSA-435354	 Reactome	 hsapiens	18	125	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-435354	17.0
MAP3K8 (TPL2)-dependent MAPK1/3 activation	R-HSA-5684264	 Reactome	 hsapiens	18	125	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5684264	16.0
GRB2 events in ERBB2 signaling	R-HSA-1963640	 Reactome	 hsapiens	18	138	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1963640	16.0
CRMPs in Sema3A signaling	R-HSA-399956	 Reactome	 hsapiens	18	280	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-399956	16.0
MECP2 regulates neuronal receptors and channels	R-HSA-9022699	 Reactome	 hsapiens	17	26	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9022699	17.0
FOXO-mediated transcription of cell cycle genes	R-HSA-9617828	 Reactome	 hsapiens	17	57	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9617828	17.0
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	R-HSA-9659787	 Reactome	 hsapiens	17	95	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9659787	17.0
Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	R-HSA-9661069	 Reactome	 hsapiens	17	95	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9661069	17.0
FOXO-mediated transcription of cell death genes	R-HSA-9614657	 Reactome	 hsapiens	16	48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9614657	16.0
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	R-HSA-210744	 Reactome	 hsapiens	16	63	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-210744	16.0
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	R-HSA-2559584	 Reactome	 hsapiens	16	76	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559584	16.0
SUMOylation of DNA methylation proteins	R-HSA-4655427	 Reactome	 hsapiens	16	88	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4655427	17.0
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	R-HSA-1362300	 Reactome	 hsapiens	16	90	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1362300	16.0
Signaling by NOTCH1 HD Domain Mutants in Cancer	R-HSA-2691230	 Reactome	 hsapiens	16	132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2691230	15.0
