pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL
"""IRF3-mediated induction of type I IFN"" pathway"	R-HSA-3270619	 Reactome	 hsapiens	 19	 116	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3270619
"""Defects in cobalamin (B12) metabolism"" pathway"	R-HSA-3296469	 Reactome	 hsapiens	 23	 41	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3296469
"""Defects in vitamin and cofactor metabolism"" pathway"	R-HSA-3296482	 Reactome	 hsapiens	 34	 56	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3296482
"""Detoxification of Reactive Oxygen Species"" pathway"	R-HSA-3299685	 Reactome	 hsapiens	 63	 429	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3299685
"""Nuclear Pore Complex (NPC) Disassembly"" pathway"	R-HSA-3301854	 Reactome	 hsapiens	 38	 699	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3301854
"""Loss of Function of SMAD2/3 in Cancer"" pathway"	R-HSA-3304349	 Reactome	 hsapiens	 6	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3304349
"""Signaling by TGF-beta Receptor Complex in Cancer"" pathway"	R-HSA-3304351	 Reactome	 hsapiens	 7	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3304351
"""SMAD2/3 Phosphorylation Motif Mutants in Cancer"" pathway"	R-HSA-3304356	 Reactome	 hsapiens	 6	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3304356
"""Glycogen synthesis"" pathway"	R-HSA-3322077	 Reactome	 hsapiens	 26	 159	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3322077
"""Defects in biotin (Btn) metabolism"" pathway"	R-HSA-3323169	 Reactome	 hsapiens	 12	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3323169
"""Defective AMN causes hereditary megaloblastic anemia 1"" pathway"	R-HSA-3359462	 Reactome	 hsapiens	 4	 2	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3359462
"""Defective CUBN causes hereditary megaloblastic anemia 1"" pathway"	R-HSA-3359463	 Reactome	 hsapiens	 4	 2	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3359463
"""Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE"" pathway"	R-HSA-3359467	 Reactome	 hsapiens	 6	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3359467
"""Defective MTR causes methylmalonic aciduria and homocystinuria type cblG"" pathway"	R-HSA-3359469	 Reactome	 hsapiens	 7	 20	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3359469
"""Defective MMAA causes methylmalonic aciduria type cblA"" pathway"	R-HSA-3359475	 Reactome	 hsapiens	 2	 1	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3359475
"""Defective MUT causes methylmalonic aciduria mut type"" pathway"	R-HSA-3359478	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3359478
"""Regulation by c-FLIP"" pathway"	R-HSA-3371378	 Reactome	 hsapiens	 11	 44	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371378
"""Regulation of HSF1-mediated heat shock response"" pathway"	R-HSA-3371453	 Reactome	 hsapiens	 78	 2041	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371453
"""HSP90 chaperone cycle for SHRs"" pathway"	R-HSA-3371497	 Reactome	 hsapiens	 50	 1448	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371497
"""HSF1 activation"" pathway"	R-HSA-3371511	 Reactome	 hsapiens	 12	 24	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371511
"""Cellular response to heat stress"" pathway"	R-HSA-3371556	 Reactome	 hsapiens	 100	 2168	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371556
"""Attenuation phase"" pathway"	R-HSA-3371568	 Reactome	 hsapiens	 16	 54	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371568
"""HSF1-dependent transactivation"" pathway"	R-HSA-3371571	 Reactome	 hsapiens	 28	 111	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371571
"""Defective HLCS causes multiple carboxylase deficiency"" pathway"	R-HSA-3371599	 Reactome	 hsapiens	 10	 13	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371599
"""Autodegradation of the E3 ubiquitin ligase COP1"" pathway"	R-HSA-349425	 Reactome	 hsapiens	 54	 1234	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-349425
"""Notch-HLH transcription pathway"" pathway"	R-HSA-350054	 Reactome	 hsapiens	 28	 143	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-350054
"""Regulation of ornithine decarboxylase (ODC)"" pathway"	R-HSA-350562	 Reactome	 hsapiens	 51	 1181	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-350562
"""Agmatine biosynthesis"" pathway"	R-HSA-351143	 Reactome	 hsapiens	 8	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-351143
"""Interconversion of polyamines"" pathway"	R-HSA-351200	 Reactome	 hsapiens	 16	 57	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-351200
"""Metabolism of polyamines"" pathway"	R-HSA-351202	 Reactome	 hsapiens	 80	 1284	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-351202
"""Apoptotic cleavage of cell adhesion  proteins"" pathway"	R-HSA-351906	 Reactome	 hsapiens	 11	 12	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-351906
"""Amino acid transport across the plasma membrane"" pathway"	R-HSA-352230	 Reactome	 hsapiens	 67	 719	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-352230
"""Breakdown of the nuclear lamina"" pathway"	R-HSA-352238	 Reactome	 hsapiens	 3	 4	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-352238
"""Integrin signaling"" pathway"	R-HSA-354192	 Reactome	 hsapiens	 38	 460	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-354192
"""GRB2:SOS provides linkage to MAPK signaling for Integrins"" pathway"	R-HSA-354194	 Reactome	 hsapiens	 20	 179	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-354194
"""Diseases associated with glycosaminoglycan metabolism"" pathway"	R-HSA-3560782	 Reactome	 hsapiens	 55	 170	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3560782
"""Defective B4GALT7 causes EDS, progeroid type"" pathway"	R-HSA-3560783	 Reactome	 hsapiens	 21	 20	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3560783
"""Defective B3GAT3 causes JDSSDHD"" pathway"	R-HSA-3560801	 Reactome	 hsapiens	 22	 41	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3560801
"""Defective CHST3 causes SEDCJD"" pathway"	R-HSA-3595172	 Reactome	 hsapiens	 9	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3595172
"""Defective CHST14 causes EDS, musculocontractural type"" pathway"	R-HSA-3595174	 Reactome	 hsapiens	 9	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3595174
"""Defective CHSY1 causes TPBS"" pathway"	R-HSA-3595177	 Reactome	 hsapiens	 10	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3595177
"""Loss of Function of TGFBR2 in Cancer"" pathway"	R-HSA-3642278	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3642278
"""TGFBR2 Kinase Domain Mutants in Cancer"" pathway"	R-HSA-3645790	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3645790
"""Defective CHST6 causes MCDC1"" pathway"	R-HSA-3656225	 Reactome	 hsapiens	 9	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3656225
"""Defective EXT2 causes exostoses 2"" pathway"	R-HSA-3656237	 Reactome	 hsapiens	 16	 29	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3656237
"""Defective ST3GAL3 causes MCT12 and EIEE15"" pathway"	R-HSA-3656243	 Reactome	 hsapiens	 9	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3656243
"""Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)"" pathway"	R-HSA-3656244	 Reactome	 hsapiens	 9	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3656244
"""Defective EXT1 causes exostoses 1, TRPS2 and CHDS"" pathway"	R-HSA-3656253	 Reactome	 hsapiens	 16	 29	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3656253
"""TGFBR1 KD Mutants in Cancer"" pathway"	R-HSA-3656532	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3656532
"""Loss of Function of TGFBR1 in Cancer"" pathway"	R-HSA-3656534	 Reactome	 hsapiens	 4	 4	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3656534
"""TGFBR1 LBD Mutants in Cancer"" pathway"	R-HSA-3656535	 Reactome	 hsapiens	 4	 2	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3656535
"""Transcriptional Regulation by TP53"" pathway"	R-HSA-3700989	 Reactome	 hsapiens	 404	 4419	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3700989
"""p130Cas linkage to MAPK signaling for integrins"" pathway"	R-HSA-372708	 Reactome	 hsapiens	 22	 256	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-372708
"""Signaling by GPCR"" pathway"	R-HSA-372790	 Reactome	 hsapiens	 857	 20706	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-372790
"""Class A/1 (Rhodopsin-like receptors)"" pathway"	R-HSA-373076	 Reactome	 hsapiens	 412	 462	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-373076
"""Class B/2 (Secretin family receptors)"" pathway"	R-HSA-373080	 Reactome	 hsapiens	 98	 400	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-373080
"""Netrin-1 signaling"" pathway"	R-HSA-373752	 Reactome	 hsapiens	 58	 328	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-373752
"""Nephrin family interactions"" pathway"	R-HSA-373753	 Reactome	 hsapiens	 24	 70	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-373753
"""Semaphorin interactions"" pathway"	R-HSA-373755	 Reactome	 hsapiens	 70	 706	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-373755
"""L1CAM interactions"" pathway"	R-HSA-373760	 Reactome	 hsapiens	 109	 772	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-373760
"""NCAM signaling for neurite out-growth"" pathway"	R-HSA-375165	 Reactome	 hsapiens	 63	 350	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-375165
"""Peptide ligand-binding receptors"" pathway"	R-HSA-375276	 Reactome	 hsapiens	 203	 187	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-375276
"""Amine ligand-binding receptors"" pathway"	R-HSA-375280	 Reactome	 hsapiens	 51	 108	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-375280
"""Hormone ligand-binding receptors"" pathway"	R-HSA-375281	 Reactome	 hsapiens	 13	 16	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-375281
"""DSCAM interactions"" pathway"	R-HSA-376172	 Reactome	 hsapiens	 14	 61	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-376172
"""Signaling by ROBO receptors"" pathway"	R-HSA-376176	 Reactome	 hsapiens	 226	 7527	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-376176
"""Deactivation of the beta-catenin transactivating complex"" pathway"	R-HSA-3769402	 Reactome	 hsapiens	 44	 228	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3769402
"""Negative regulation of TCF-dependent signaling by WNT ligand antagonists"" pathway"	R-HSA-3772470	 Reactome	 hsapiens	 15	 24	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3772470
"""Diseases associated with N-glycosylation of proteins"" pathway"	R-HSA-3781860	 Reactome	 hsapiens	 39	 38	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3781860
"""Diseases of glycosylation"" pathway"	R-HSA-3781865	 Reactome	 hsapiens	 202	 393	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3781865
"""Myoclonic epilepsy of Lafora"" pathway"	R-HSA-3785653	 Reactome	 hsapiens	 11	 24	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3785653
"""Enzymatic degradation of dopamine by COMT"" pathway"	R-HSA-379397	 Reactome	 hsapiens	 13	 40	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-379397
"""Enzymatic degradation of Dopamine by monoamine oxidase"" pathway"	R-HSA-379398	 Reactome	 hsapiens	 12	 31	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-379398
"""Clearance of dopamine"" pathway"	R-HSA-379401	 Reactome	 hsapiens	 17	 68	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-379401
"""Cytosolic tRNA aminoacylation"" pathway"	R-HSA-379716	 Reactome	 hsapiens	 50	 309	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-379716
"""tRNA Aminoacylation"" pathway"	R-HSA-379724	 Reactome	 hsapiens	 68	 459	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-379724
"""Mitochondrial tRNA aminoacylation"" pathway"	R-HSA-379726	 Reactome	 hsapiens	 47	 150	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-379726
"""Tachykinin receptors bind tachykinins"" pathway"	R-HSA-380095	 Reactome	 hsapiens	 5	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380095
"""Chemokine receptors bind chemokines"" pathway"	R-HSA-380108	 Reactome	 hsapiens	 57	 48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380108
"""Loss of Nlp from mitotic centrosomes"" pathway"	R-HSA-380259	 Reactome	 hsapiens	 71	 2555	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380259
"""Recruitment of mitotic centrosome proteins and complexes"" pathway"	R-HSA-380270	 Reactome	 hsapiens	 81	 3357	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380270
"""Loss of proteins required for interphase microtubule organization from the centrosome"" pathway"	R-HSA-380284	 Reactome	 hsapiens	 71	 2555	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380284
"""Centrosome maturation"" pathway"	R-HSA-380287	 Reactome	 hsapiens	 83	 3566	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380287
"""Recruitment of NuMA to mitotic centrosomes"" pathway"	R-HSA-380320	 Reactome	 hsapiens	 80	 3160	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380320
"""Clearance of seratonin"" pathway"	R-HSA-380615	 Reactome	 hsapiens	 16	 40	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380615
"""Energy dependent regulation of mTOR by LKB1-AMPK"" pathway"	R-HSA-380972	 Reactome	 hsapiens	 36	 519	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380972
"""ATF4 activates genes in response to endoplasmic reticulum  stress"" pathway"	R-HSA-380994	 Reactome	 hsapiens	 27	 109	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380994
"""ATF6 (ATF6-alpha) activates chaperones"" pathway"	R-HSA-381033	 Reactome	 hsapiens	 12	 23	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381033
"""XBP1(S) activates chaperone genes"" pathway"	R-HSA-381038	 Reactome	 hsapiens	 48	 47	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381038
"""PERK regulates gene expression"" pathway"	R-HSA-381042	 Reactome	 hsapiens	 34	 128	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381042
"""IRE1alpha activates chaperones"" pathway"	R-HSA-381070	 Reactome	 hsapiens	 52	 56	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381070
"""Unfolded Protein Response (UPR)"" pathway"	R-HSA-381119	 Reactome	 hsapiens	 94	 216	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381119
"""ATF6 (ATF6-alpha) activates chaperone genes"" pathway"	R-HSA-381183	 Reactome	 hsapiens	 10	 19	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381183
"""Transcriptional regulation of white adipocyte differentiation"" pathway"	R-HSA-381340	 Reactome	 hsapiens	 94	 1696	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381340
"""Regulation of IGF Activity by IGFBP"" pathway"	R-HSA-381426	 Reactome	 hsapiens	 127	 815	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381426
"""GSD XV"" pathway"	R-HSA-3814836	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3814836
"""Glucagon-like Peptide-1 (GLP1) regulates insulin secretion"" pathway"	R-HSA-381676	 Reactome	 hsapiens	 49	 286	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381676
"""Olfactory Signaling Pathway"" pathway"	R-HSA-381753	 Reactome	 hsapiens	 432	 5888	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381753
"""Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"" pathway"	R-HSA-381771	 Reactome	 hsapiens	 42	 128	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381771
"""Transport of small molecules"" pathway"	R-HSA-382551	 Reactome	 hsapiens	 937	 22246	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-382551
"""ABC-family proteins mediated transport"" pathway"	R-HSA-382556	 Reactome	 hsapiens	 121	 1866	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-382556
"""GSD 0 (muscle)"" pathway"	R-HSA-3828062	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3828062
"""Nuclear Receptor transcription pathway"" pathway"	R-HSA-383280	 Reactome	 hsapiens	 53	 150	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-383280
"""Beta-catenin independent WNT signaling"" pathway"	R-HSA-3858494	 Reactome	 hsapiens	 160	 2113	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3858494
"""GSD 0"" pathway"	R-HSA-3858516	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3858516
"""GSD IV"" pathway"	R-HSA-3878781	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3878781
"""GPCR downstream signalling"" pathway"	R-HSA-388396	 Reactome	 hsapiens	 780	 20372	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-388396
"""Vasopressin-like receptors"" pathway"	R-HSA-388479	 Reactome	 hsapiens	 6	 4	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-388479
"""Costimulation by the CD28 family"" pathway"	R-HSA-388841	 Reactome	 hsapiens	 97	 1392	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-388841
"""Receptor-type tyrosine-protein phosphatases"" pathway"	R-HSA-388844	 Reactome	 hsapiens	 20	 31	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-388844
"""CD28 co-stimulation"" pathway"	R-HSA-389356	 Reactome	 hsapiens	 39	 339	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389356
"""CD28 dependent PI3K/Akt signaling"" pathway"	R-HSA-389357	 Reactome	 hsapiens	 26	 190	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389357
"""CD28 dependent Vav1 pathway"" pathway"	R-HSA-389359	 Reactome	 hsapiens	 17	 121	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389359
"""Orexin and neuropeptides FF and QRFP bind to their respective receptors"" pathway"	R-HSA-389397	 Reactome	 hsapiens	 8	 5	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389397
"""CTLA4 inhibitory signaling"" pathway"	R-HSA-389513	 Reactome	 hsapiens	 25	 278	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389513
"""Alpha-oxidation of phytanate"" pathway"	R-HSA-389599	 Reactome	 hsapiens	 31	 95	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389599
"""Glyoxylate metabolism and glycine degradation"" pathway"	R-HSA-389661	 Reactome	 hsapiens	 72	 274	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389661
"""Beta-oxidation of pristanoyl-CoA"" pathway"	R-HSA-389887	 Reactome	 hsapiens	 31	 120	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389887
"""SUMOylation of transcription cofactors"" pathway"	R-HSA-3899300	 Reactome	 hsapiens	 44	 210	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3899300
"""PD-1 signaling"" pathway"	R-HSA-389948	 Reactome	 hsapiens	 45	 779	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389948
"""Prefoldin mediated transfer of substrate  to CCT/TriC"" pathway"	R-HSA-389957	 Reactome	 hsapiens	 29	 267	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389957
"""Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding"" pathway"	R-HSA-389958	 Reactome	 hsapiens	 37	 447	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389958
"""Formation of tubulin folding intermediates by CCT/TriC"" pathway"	R-HSA-389960	 Reactome	 hsapiens	 30	 340	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389960
"""Post-chaperonin tubulin folding pathway"" pathway"	R-HSA-389977	 Reactome	 hsapiens	 25	 193	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389977
"""Beta-oxidation of very long chain fatty acids"" pathway"	R-HSA-390247	 Reactome	 hsapiens	 38	 131	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-390247
"""Folding of actin by CCT/TriC"" pathway"	R-HSA-390450	 Reactome	 hsapiens	 13	 96	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-390450
"""Chaperonin-mediated protein folding"" pathway"	R-HSA-390466	 Reactome	 hsapiens	 96	 1014	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-390466
"""Association of TriC/CCT with target proteins during biosynthesis"" pathway"	R-HSA-390471	 Reactome	 hsapiens	 40	 344	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-390471
"""Striated Muscle Contraction"" pathway"	R-HSA-390522	 Reactome	 hsapiens	 38	 957	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-390522
"""Adrenoceptors"" pathway"	R-HSA-390696	 Reactome	 hsapiens	 11	 74	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-390696
"""Diseases associated with O-glycosylation of proteins"" pathway"	R-HSA-3906995	 Reactome	 hsapiens	 78	 132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3906995
"""Peroxisomal lipid metabolism"" pathway"	R-HSA-390918	 Reactome	 hsapiens	 90	 377	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-390918
"""Signal regulatory protein family interactions"" pathway"	R-HSA-391160	 Reactome	 hsapiens	 15	 29	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-391160
"""Protein folding"" pathway"	R-HSA-391251	 Reactome	 hsapiens	 102	 1172	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-391251
"""Nitric oxide stimulates guanylate cyclase"" pathway"	R-HSA-392154	 Reactome	 hsapiens	 35	 153	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-392154
